exp#,utility_YS,utility_YS_order,utility_YS_course,utility_YS_both,gini_YS,gini_YS_order,gini_YS_course,gini_YS_both,base_0,base_rnd,base_DSA_RC,cl_60,cl_65,cl_70,cl_75,cl_80,cl_85,cl_90,friendship_w_0,friendship_w_1
1371,0,1170,0,0,0,11.28,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1372,0,1170,0,0,0,11.35,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1373,0,1169,0,0,0,11.65,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1374,0,1170,0,0,0,11.75,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1375,0,1171,0,0,0,11.71,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1376,0,1173,0,0,0,11.76,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1377,0,1175,0,0,0,11.8,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1378,0,1167,0,0,0,11.57,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1379,0,1173,0,0,0,11.56,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1380,0,1175,0,0,0,11.69,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1381,0,1182,0,0,0,12.08,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1382,0,1169,0,0,0,11.59,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1383,0,1170,0,0,0,11.74,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1384,0,1169,0,0,0,11.48,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1385,0,1174,0,0,0,11.76,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1386,0,1167,0,0,0,11.43,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1387,0,1170,0,0,0,11.56,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1388,0,1175,0,0,0,11.62,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1389,0,1179,0,0,0,11.93,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1390,0,1169,0,0,0,11.21,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1391,0,1171,0,0,0,11.61,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1392,0,1170,0,0,0,11.69,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1393,0,1174,0,0,0,11.87,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1394,0,1171,0,0,0,11.59,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1395,0,1174,0,0,0,11.72,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1396,0,1171,0,0,0,11.29,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1397,0,1170,0,0,0,11.69,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1398,0,1170,0,0,0,11.69,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1399,0,1176,0,0,0,11.57,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1400,0,1169,0,0,0,11.45,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1401,0,1171,0,0,0,11.58,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1402,0,1177,0,0,0,11.66,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1403,0,1169,0,0,0,11.68,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1404,0,1171,0,0,0,11.66,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1405,0,1181,0,0,0,11.89,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1406,0,1169,0,0,0,11.61,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1407,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1408,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1409,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1410,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1411,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1412,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1413,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1414,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1415,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1416,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1417,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1418,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1419,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1420,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1421,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1422,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1423,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1424,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1425,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1426,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1427,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1428,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1429,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1430,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1431,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1432,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1433,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1434,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1435,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1436,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1437,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1438,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1439,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1440,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1441,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1442,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1443,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1444,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1445,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1446,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1447,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1448,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1449,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1450,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1451,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1452,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1453,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1454,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1455,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1456,0,1191,0,0,0,12.23,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1457,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1458,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1459,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1460,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1461,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1462,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1463,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1464,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1465,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1466,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1467,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1468,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1469,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1470,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1471,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1472,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1473,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1474,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1475,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1476,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1477,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1478,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1479,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1480,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1481,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1482,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1483,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1484,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1485,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1486,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1487,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1488,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1489,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1490,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1491,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1492,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1493,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1494,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1495,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1496,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1497,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1498,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1499,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1500,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1501,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1502,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1503,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1504,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1505,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1506,0,0,459,0,0,0,9.31,0,0,1,0,1,0,0,0,0,0,0,1,0
1507,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1508,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1509,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1510,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1511,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1512,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1513,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1514,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1515,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1516,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1517,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1518,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1519,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1520,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1521,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1522,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1523,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1524,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1525,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1526,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1527,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1528,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1529,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1530,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1531,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1532,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1533,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1534,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1535,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1536,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1537,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1538,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1539,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1540,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1541,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1542,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1543,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1544,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1545,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1546,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1547,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1548,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1549,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1550,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1551,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1552,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1553,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1554,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1555,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1556,0,0,484,0,0,0,7.13,0,0,1,0,0,1,0,0,0,0,0,1,0
1557,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1558,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1559,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1560,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1561,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1562,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1563,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1564,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1565,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1566,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1567,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1568,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1569,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1570,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1571,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1572,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1573,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1574,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1575,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1576,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1577,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1578,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1579,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1580,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1581,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1582,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1583,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1584,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1585,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1586,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1587,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1588,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1589,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1590,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1591,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1592,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1593,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1594,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1595,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1596,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1597,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1598,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1599,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1600,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1601,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1602,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1603,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1604,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1605,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1606,0,0,494,0,0,0,5.92,0,0,1,0,0,0,1,0,0,0,0,1,0
1607,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1608,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1609,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1610,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1611,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1612,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1613,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1614,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1615,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1616,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1617,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1618,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1619,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1620,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1621,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1622,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1623,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1624,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1625,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1626,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1627,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1628,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1629,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1630,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1631,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1632,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1633,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1634,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1635,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1636,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1637,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1638,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1639,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1640,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1641,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1642,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1643,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1644,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1645,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1646,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1647,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1648,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1649,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1650,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1651,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1652,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1653,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1654,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1655,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1656,0,0,504,0,0,0,4.54,0,0,1,0,0,0,0,1,0,0,0,1,0
1657,0,0,514,0,0,0,2.99,0,0,1,0,0,0,0,0,1,0,0,1,0
1658,0,0,514,0,0,0,2.99,0,0,1,0,0,0,0,0,1,0,0,1,0
1659,0,0,514,0,0,0,2.99,0,0,1,0,0,0,0,0,1,0,0,1,0
1660,0,0,514,0,0,0,2.99,0,0,1,0,0,0,0,0,1,0,0,1,0
1661,0,0,514,0,0,0,2.99,0,0,1,0,0,0,0,0,1,0,0,1,0
1662,0,0,514,0,0,0,2.99,0,0,1,0,0,0,0,0,1,0,0,1,0
1663,0,0,514,0,0,0,2.99,0,0,1,0,0,0,0,0,1,0,0,1,0
1664,0,0,514,0,0,0,2.99,0,0,1,0,0,0,0,0,1,0,0,1,0
1665,0,0,514,0,0,0,2.99,0,0,1,0,0,0,0,0,1,0,0,1,0
1666,0,0,514,0,0,0,2.99,0,0,1,0,0,0,0,0,1,0,0,1,0
1667,0,0,514,0,0,0,2.99,0,0,1,0,0,0,0,0,1,0,0,1,0
1668,0,0,514,0,0,0,2.99,0,0,1,0,0,0,0,0,1,0,0,1,0
1669,0,0,514,0,0,0,2.99,0,0,1,0,0,0,0,0,1,0,0,1,0
1670,0,0,514,0,0,0,2.99,0,0,1,0,0,0,0,0,1,0,0,1,0
1671,0,0,514,0,0,0,2.99,0,0,1,0,0,0,0,0,1,0,0,1,0
1672,0,0,514,0,0,0,2.99,0,0,1,0,0,0,0,0,1,0,0,1,0
1673,0,0,514,0,0,0,2.99,0,0,1,0,0,0,0,0,1,0,0,1,0
1674,0,0,514,0,0,0,2.99,0,0,1,0,0,0,0,0,1,0,0,1,0
1675,0,0,514,0,0,0,2.99,0,0,1,0,0,0,0,0,1,0,0,1,0
1676,0,0,514,0,0,0,2.99,0,0,1,0,0,0,0,0,1,0,0,1,0
